,productName,brand,price,fabricType,closureType,countryOfOrigin,describe,productDescription,ratings,rate
968,Under Armour Men's ColdGear Infrared Showdown Pants, Under Armour,84.18,"91% Polyester, 9% Elastane",High Rise,Philippines,"FIT: Straight leg ColdGear Infrared lining uses a soft, thermo-conductive inner coating to absorb & retain body heat Light, stretchy woven fabric delivers total comfort Material wicks sweat & dries really fast Stretch-engineered waistband for superior mobility & insane comfort Flat-front, 4-pocket design","FIT: Straight leg. ColdGear Infrared lining uses a soft, thermo-conductive inner coating to absorb & retain body heat. Light, stretchy woven fabric delivers total comfort. Material wicks sweat & dries really fast. Stretch-engineered waistband for superior mobility & insane comfort. Flat-front, 4-pocket design.",167.0,4.6
969,Ariat Men's M7 Slim Remming Straight, ARIAT,86.95,"99% Cotton, 1% Lycra® Spandex Elastane",Button,Mexico,No-rub comfort inseam,"An update on a classic. Fitted through the seat and thigh with a straight leg, the Ariat M7 is slim and modern without being tight or restrictive.",2.0,Không có
970,Columbia Men's Bucktail Ii Pant, Columbia,63.92,"96% Nylon, 4% Elastane",Button,India,OMNI-SHADE: For mild to extreme sun exposure. Blocks harmful UVA and UVB rays that cause sunburns and long-term skin damage. Tight weave construction offers lasting sun protection with the Skin Cancer Foundation's Seal of Recommendation.,"Designed with hunters in mind, these Columbia men’s pants are equipped for everything else outdoors too. They’re made from a durable nylon-canvas blend that provides UPF 50 sun protection and repels rain and stains. Columbia offers these pants in multiple colors and sizes. Available in various inseam lengths. Regular fit.",4.0,4.7
971,Red Kap Men's Cell Phone Pocket Work Short, Red Kap,23.49,"65% Polyester, 35% Cotton",Button,Không xác định,"Touchtex Pro Technology provides breathable comfort, lasting colors and stain resistance with an even softer feel","Red Kap Men's Cell Phone Pocket Short feature a pocket with a snap closure designed to secure your cell phone while you work. We know that looking good on the job is important, too.",1041.0,4.2
972,Haggar Men's The Active Series Jogger, Haggar,44.99,100% Polyester,Elastic,Cambodia,"FEATURES: The Active Series Performance you know and love now in the most comfortable stretchable jogger. Featuring a partial elastic waistband, offseam front pockets, single welt back pockets and a cuffed hem.",Không có,6.0,4.8
973,"J.M. Haggar Men's Premium Stretch Tailored Fit Subtle Pattern Suit Separates Jackets, Blue Heather-Pant, 38W x 32L", Haggar,70.0,"64% Polyester, 34% Viscose, 2% Elastane",Hook and Bar,Bangladesh,Enjoy the benefit of looking polished while feeling comfortable when you choose your customized suit jacket and suit pant size. Simply select your jacket and pant sizes and add them to the cart separately,"J.M. Haggar suit separates offer exceptional style, quality and flexibility for you and your wardrobe. Made from our finest fabric with stretch built right into the fibers. Designed to be worn together with the coordinating suit pant and suit jacket from the J.M. Haggar collection.",1.0,Không có
974,"Hurley Men's Phantom Patriot Cheers 20"" Board Shorts", Hurley,35.05,"92% Polyester, 8% Spandex",Pull On,China,Performance Fit.,"Made with recycled material, the Hurley phantom cheers men's 20 inch",4244.0,4.6
975,Ariat mens M5 Legacy Straight Leg Jean, ARIAT,59.95,100% Cotton,Zipper,Mexico,Straight through seat and thigh,"Medium-series denim is expertly constructed with a focus on quality, craftsmanship and style. M5 is slim through the seat and thigh, low rise and straight leg.",538.0,4.6
976,"Timberland PRO Men's Tempe Work Pant, Black", Timberland PRO,59.17,"95% Nylon, 5% Elastane",Snap,Indonesia,"Timberland PRO FLEX: Timberland PRO FLEX: technology that gives you full range of motion with features like durable fabrics that stretch, strategically placed gussets and bi-swings ensuring you’ll get the most from every move.","Our lightweight yet durable pants are ready to go to work with their Timberland PRO FLEX technology featuring maximum mobility so you can bend, reach, and stretch without restriction. Quick-drying, moisture-wicking WickWork technology fabric and WorkVent perforated air vents provide extra breathable comfort as your activity heats up. We've also included built-in UPF 50+ sun protection, 7 belt loops to help keep your work belt in place, and back utility and welted pockets to keep essential tools close at hand. Their athletic fit sits slightly below your waist, with a generous seat and thigh for active comfort.",Không có,Không có
977,"Mountain Hardwear Men's Hardwear Ap Pant, Surplus Green-Legacy, 38", Mountain Hardwear,44.8,"75% Cotton, 22% Nylon, 3% Lycra® Elastane",Button,Indonesia,UPF 50 filters harsh UV rays,"An all-day pant that offers a unique combination of performance and style. Backpacker gave the AP Pant its Editor's Choice Award, and you'll see why. Made from a twill fabric that's comfortable, durable, and has excellent stretch, it's known for its incomparable fit and versatility.",Không có,Không có
978,Propper Men's Wildland Overpant, Propper,160.15,"45% Meta Aramid, 32% Lensing FR, 17% Poly-amid, 6% Para-aramid",Button,Haiti,"45% Meta Aramid, 32% Lensing FR, 17% Poly-amid, 6% Para-aramid",Keep flames at bay and be seen in high visibility yellow. Both items are UL certified to NFPA 1977 and 1975 Cal Fire approved.,7.0,Không có
979,GAP Men's Skinny Fit Jeans, GAP,46.42,"74% Cotton, 20% Polyester, 5% Recycled Cotton, 1% Elastane",Button,Bangladesh,"THE PERFECT SKINNY FIT JEANS: Cut slim and fitted through the hip and thigh, these jeans only get better with each wear and look great dressed up or down","Modern American Optimism is in our DNA. Since 1969, we have acted as a force for good. Bridging the gaps between generations, backgrounds, and ideas through the honesty (and hope) of our eternal youthful energy.",14.0,4.5
