,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
373,Wrangler Authentics Men's Classic Cargo Stretch Short, Wrangler Authentics,24.99,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"The Wrangler Authentics collection delivers laid-back style for the man on the go. Performance-level comfort is built into our classic button-downs and blue jeans for an outfit that feels as good as it looks. Wrangler Authentics jeans are constructed with 5-pocket styling, made from heavyweight 100% cotton denim and feature a comfortable waist with deep front pockets. Available with Advanced Comfort technology that helps your jeans move with you for all day comfort. Pair with your favorite Wrangler Authentics shirt for a night out or casual weekend.",48370,4.6,"TRADITIONAL CARGO STYLE. Built for versatility and comfort, this classic cargo short takes you from the outdoors to work, to every day with this timeless silhouette.",374,79
374,Wrangler Mens Cowboy Cut Bootcut Stretch Regular Fit Jeans, Wrangler,49.99,100% Synthetic,Button,Mexico,Wrangler Mens Cowboy Cut Bootcut Stretch Regular Fit Jeans,793,4.5,Slim bootcut jean in dark wash featuring five-pocket styling and zip fly with button closure,375,78
375,PUMA Men's Iconic T7 Track Pants, PUMA,52.51,"93% Cotton, 7% Elastane",Pull On,China,"The term ""Original"" is more than understatement. The T7 made a name for itself with its 7cm signature stripes. It was popular on the city streets as it was on training grounds. Hidden away in our archives, this suit has been faithfully replicated, and is just as iconic today as it was back then.",29,4.6,Regular fit,376,56
376,"Columbia Flex ROC Pant Mens, City Grey, 38W x 34L", Columbia,55.0,"98% Cotton, 2% Elastane",Button,India,"These pants are an everyday outdoor enthusiast's must-have. The Columbia Men's Flex ROC Casual Hiking Pants are an essential because of its signature soft-to-the-touch cotton blend that remains lightweight, yet durable, no matter the activity. High quality fabrics and expert craftsmanship are the backbone of Columbia’s apparel. These men's pants are durable and comfortable and include six strong belt loops for the perfect fit and ultimate freedom of movement. They feature two front and two rear pockets, plus a zippered security pocket, and a multi-tool/knife pocket to keep key items at the ready. Columbia offers these pants in multiple staple colors, lengths and sizes. Extended sizing available. Regular Fit. To ensure the size you choose is just right, please refer to our sizing chart and abide by the following measurement instructions: To find your waist measurement, measure around your natural waistline. And for your inseam measurement, measure from the top of the interior leg to the end of the knee.",22,4.7,"DURABLE OUTDOOR PANTS: The Columbia Men’s Flex ROC Casual Hiking Pants are perfectly at home on the trail, across pavement, or sitting fireside. Designed for carefree wear, you'll love this everyday outdoor staple.",377,19
377,Dickies Men's Skinny Fit Double Knee Work Pants, Dickies,34.99,"81% Cotton, 18% Polyester, 1% Elastane",Zipper,Mexico,"Super durable and super comfortable--we're super confident about making these claims about our Dickies Men's Skinny Fit Double Knee Work Pants. Wear and tear? No problem. They feature a double layer of material around the knees, providing much-needed protection at the workplace. Lots of moving around at work? We've got you covered. The FLEX stretch fabric in these pants gives you plenty of room to move at work. Stains and wrinkles? These work pants are made with material that resists them both. So you can go about your day low-maintenance and worry-free.",1,3,Skinny in seat and thigh,378,22
378,ARIAT Men's Fr M5 Stretch Duralight Canvas Stackable Straight Leg Pant, ARIAT,129.95,100% Cotton,Button,Nicaragua,Built with 3X the abraison resistance and ultralight fabric our FR M5 DuraLight Stretch Canvas Pant offers great fit and flex with maximum durabilty. Flame-resistant for hazardous work environments.,5,4.4,CAT 2,379,3
379,BOSS Men's Slim-fit Casual Chino Trousers, BOSS,128.76,"97% Cotton, 3% Elastane",Button,Sri Lanka,Unknown,10,3.7,Button closure,380,9
380,Columbia Men's Flex ROC Utility Pant, Columbia,40.4,"98% Cotton, 2% Elastane",Button,India,"With built-in sun protection and a comfortable stretch fit, these utility pants are designed to meet the day’s demands head-on. They're an all-purpose staple that’s durable, versatile, and down for anything. Columbia offers these pants in multiple colors and sizes. Available in various inseam lengths. Straight fit.",55,4.2,"UTILITY STRETCH: Crafted from durable cotton, these ready-for-anything pants have a hint of stretch for comfortable flexibility.",381,19
381,Lee Men's Extreme Motion 5 Pocket Synthetic Slim Fit Pant, Lee,38.06,"96% Nylon, 4% Spandex",Zipper,Bangladesh,"Lee is an iconic American denim and casual apparel brand that's been making legendary product for legendary people since 1889. With over 125 years of purposeful design and craftsmanship, we know a thing or two about style. Fueled by our core values of authenticity, integrity, and drive, we create products our customers love, time and time again. From uniquely styled jeans, pants, and shorts to on-trend shirts and jackets, our movement-inspired innovations, versatile styling, and superior fit have inspired generations.",7,4.4,"SLIM FIT. When you're on the move, this tapered pant will be your go to. Designed with a slim fit and Extreme Comfort flex waistband, these mid-rise pants are made to keep you comfortable and looking stylish through any activity.",382,43
382,Wrangler Riggs Workwear Men's Flame Resistant Carpenter Work Pant, Wrangler,74.13,"98% Cotton, 2% Spandex",Zipper,Mexico,"Whatever the job, it's time to step up. There's nothing like a day's work done in the right work clothes. Whether you're a professional electrician or a hobbyist woodworker, our workwear is designed for comfort and utility. In conditions near flames and sparks, count on Flame Resistant clothing as your first line of defense. FR workwear protects you against the unexpected. We've designed clothes with Room2Move Comfort for improved motion and ensured your clothes are tough enough to withstand anything with features like triple-needle stitching and added reinforcement. Our Carpenter Jeans, Ripstop Cargo Pants, Ranger Pants and other denim bottoms come in many colors. We also carry a selection of shirts, tees, jackets, and FR clothing which offers versatile pieces that can be worn mowing the lawn, camping or on the job. Big and tall sizes deliver a great fit in every size. Made to withstand the toughest work conditions and casual occasions in between, this collection has your back.",Unknown,3,"MADE FOR COMFORT & SAFETY. These fire-resistant carpenter pants meet rigorous standards and prioritize your comfort. They feature a generous relaxed fit and a high-rise that's roomy on the seat, legs and thighs.",383,78
383,Volcom Men's Frickin Slim Chino Pant, Volcom,64.95,"59% Cotton, 39% REPREVE Recycled Polyester, 2% Elastane Twill",Button,China,"No bagging or sagging here. The Frickin Slim Chino pant streamlines your presentation. Men's chino pants are made from an extra strong and sturdy cotton blend Streamlined fit with tapered legs 15-inch leg opening Easy-entry slant pockets at front, welt pockets at back Asymmetrical back yoke.",917,4.5,15” leg opening,384,77
384,adidas Men's Core Golf Pants, adidas,50.94,100% Recycled Polyethylene Terephthalate,Button,Indonesia,Step up your golf game with these men's adidas pants. Lightweight and breathable recycled polyester-twill fabric makes them extra comfortable for long days on the links. Front and back pockets provide convenient storage.,Unknown,3,Men's lightweight golf pants with convenient pockets,385,80
